url,city,term
"https://www.google.com/maps/search/chicago+illinois+construction+safety/@41.8375,-87.6866,12z/",Chicago,construction safety
"https://www.google.com/maps/search/miami+florida+construction+safety/@25.784,-80.2101,12z/",Miami,construction safety
"https://www.google.com/maps/search/dallas+texas+construction+safety/@32.7935,-96.7667,12z/",Dallas,construction safety
"https://www.google.com/maps/search/philadelphia+pennsylvania+construction+safety/@40.0077,-75.1339,12z/",Philadelphia,construction safety
"https://www.google.com/maps/search/atlanta+georgia+construction+safety/@33.7628,-84.422,12z/",Atlanta,construction safety
"https://www.google.com/maps/search/washington+district+of+columbia+construction+safety/@38.9047,-77.0163,12z/",Washington,construction safety
"https://www.google.com/maps/search/boston+massachusetts+construction+safety/@42.3188,-71.0852,12z/",Boston,construction safety
"https://www.google.com/maps/search/detroit+michigan+construction+safety/@42.3834,-83.1024,12z/",Detroit,construction safety
"https://www.google.com/maps/search/san+francisco+california+construction+safety/@37.7558,-122.4449,12z/",San Francisco,construction safety
"https://www.google.com/maps/search/seattle+washington+construction+safety/@47.6211,-122.3244,12z/",Seattle,construction safety
"https://www.google.com/maps/search/san+diego+california+construction+safety/@32.8313,-117.1222,12z/",San Diego,construction safety
"https://www.google.com/maps/search/minneapolis+minnesota+construction+safety/@44.9635,-93.2678,12z/",Minneapolis,construction safety
"https://www.google.com/maps/search/brooklyn+new+york+construction+safety/@40.6501,-73.9496,12z/",Brooklyn,construction safety
"https://www.google.com/maps/search/denver+colorado+construction+safety/@39.762,-104.8758,12z/",Denver,construction safety
"https://www.google.com/maps/search/queens+new+york+construction+safety/@40.7498,-73.7976,12z/",Queens,construction safety
"https://www.google.com/maps/search/baltimore+maryland+construction+safety/@39.3051,-76.6144,12z/",Baltimore,construction safety
"https://www.google.com/maps/search/las+vegas+nevada+construction+safety/@36.2333,-115.2654,12z/",Las Vegas,construction safety
"https://www.google.com/maps/search/st.+louis+missouri+construction+safety/@38.6359,-90.2451,12z/",St. Louis,construction safety
"https://www.google.com/maps/search/riverside+california+construction+safety/@33.9381,-117.3949,12z/",Riverside,construction safety
"https://www.google.com/maps/search/portland+oregon+construction+safety/@45.5371,-122.65,12z/",Portland,construction safety
"https://www.google.com/maps/search/sacramento+california+construction+safety/@38.5677,-121.4685,12z/",Sacramento,construction safety
"https://www.google.com/maps/search/san+juan+puerto+rico+construction+safety/@18.3985,-66.061,12z/",San Juan,construction safety
"https://www.google.com/maps/search/san+jose+california+construction+safety/@37.3012,-121.848,12z/",San Jose,construction safety
"https://www.google.com/maps/search/cleveland+ohio+construction+safety/@41.4764,-81.6805,12z/",Cleveland,construction safety
"https://www.google.com/maps/search/pittsburgh+pennsylvania+construction+safety/@40.4397,-79.9763,12z/",Pittsburgh,construction safety
"https://www.google.com/maps/search/manhattan+new+york+construction+safety/@40.7834,-73.9662,12z/",Manhattan,construction safety
"https://www.google.com/maps/search/cincinnati+ohio+construction+safety/@39.1413,-84.506,12z/",Cincinnati,construction safety
"https://www.google.com/maps/search/columbus+ohio+construction+safety/@39.9862,-82.9855,12z/",Columbus,construction safety
"https://www.google.com/maps/search/bronx+new+york+construction+safety/@40.8501,-73.8662,12z/",Bronx,construction safety
"https://www.google.com/maps/search/milwaukee+wisconsin+construction+safety/@43.0642,-87.9675,12z/",Milwaukee,construction safety
"https://www.google.com/maps/search/providence+rhode+island+construction+safety/@41.823,-71.4187,12z/",Providence,construction safety
"https://www.google.com/maps/search/richmond+virginia+construction+safety/@37.5295,-77.4756,12z/",Richmond,construction safety
"https://www.google.com/maps/search/bridgeport+connecticut+construction+safety/@41.1918,-73.1954,12z/",Bridgeport,construction safety
"https://www.google.com/maps/search/buffalo+new+york+construction+safety/@42.9018,-78.8487,12z/",Buffalo,construction safety
"https://www.google.com/maps/search/hartford+connecticut+construction+safety/@41.7661,-72.6834,12z/",Hartford,construction safety
"https://www.google.com/maps/search/honolulu+hawaii+construction+safety/@21.3294,-157.846,12z/",Honolulu,construction safety
"https://www.google.com/maps/search/sarasota+florida+construction+safety/@27.3387,-82.5432,12z/",Sarasota,construction safety
"https://www.google.com/maps/search/rochester+new+york+construction+safety/@43.168,-77.6162,12z/",Rochester,construction safety
"https://www.google.com/maps/search/fresno+california+construction+safety/@36.783,-119.7939,12z/",Fresno,construction safety
"https://www.google.com/maps/search/allentown+pennsylvania+construction+safety/@40.5961,-75.4756,12z/",Allentown,construction safety
"https://www.google.com/maps/search/concord+california+construction+safety/@37.9722,-122.0016,12z/",Concord,construction safety
"https://www.google.com/maps/search/springfield+massachusetts+construction+safety/@42.1155,-72.5395,12z/",Springfield,construction safety
"https://www.google.com/maps/search/grand+rapids+michigan+construction+safety/@42.9619,-85.6562,12z/",Grand Rapids,construction safety
"https://www.google.com/maps/search/mission+viejo+california+construction+safety/@33.6096,-117.6551,12z/",Mission Viejo,construction safety
"https://www.google.com/maps/search/albany+new+york+construction+safety/@42.6664,-73.7987,12z/",Albany,construction safety
"https://www.google.com/maps/search/new+haven+connecticut+construction+safety/@41.3113,-72.9246,12z/",New Haven,construction safety
"https://www.google.com/maps/search/worcester+massachusetts+construction+safety/@42.2705,-71.8079,12z/",Worcester,construction safety
"https://www.google.com/maps/search/mesa+arizona+construction+safety/@33.4015,-111.7178,12z/",Mesa,construction safety
"https://www.google.com/maps/search/staten+island+new+york+construction+safety/@40.5834,-74.1496,12z/",Staten Island,construction safety
"https://www.google.com/maps/search/harrisburg+pennsylvania+construction+safety/@40.2752,-76.8843,12z/",Harrisburg,construction safety
"https://www.google.com/maps/search/long+beach+california+construction+safety/@33.7977,-118.167,12z/",Long Beach,construction safety
"https://www.google.com/maps/search/lancaster+pennsylvania+construction+safety/@40.042,-76.3012,12z/",Lancaster,construction safety
"https://www.google.com/maps/search/poughkeepsie+new+york+construction+safety/@41.695,-73.9211,12z/",Poughkeepsie,construction safety
"https://www.google.com/maps/search/oakland+california+construction+safety/@37.7904,-122.2166,12z/",Oakland,construction safety
"https://www.google.com/maps/search/syracuse+new+york+construction+safety/@43.0407,-76.1437,12z/",Syracuse,construction safety
"https://www.google.com/maps/search/arlington+texas+construction+safety/@32.6998,-97.125,12z/",Arlington,construction safety
"https://www.google.com/maps/search/stockton+california+construction+safety/@37.9765,-121.3109,12z/",Stockton,construction safety
"https://www.google.com/maps/search/oxnard+california+construction+safety/@34.1964,-119.1815,12z/",Oxnard,construction safety
"https://www.google.com/maps/search/modesto+california+construction+safety/@37.6375,-121.0028,12z/",Modesto,construction safety
"https://www.google.com/maps/search/anaheim+california+construction+safety/@33.839,-117.8574,12z/",Anaheim,construction safety
"https://www.google.com/maps/search/santa+ana+california+construction+safety/@33.7367,-117.8819,12z/",Santa Ana,construction safety
"https://www.google.com/maps/search/ann+arbor+michigan+construction+safety/@42.2759,-83.731,12z/",Ann Arbor,construction safety
"https://www.google.com/maps/search/santa+rosa+california+construction+safety/@38.4458,-122.7067,12z/",Santa Rosa,construction safety
"https://www.google.com/maps/search/antioch+california+construction+safety/@37.9787,-121.796,12z/",Antioch,construction safety
"https://www.google.com/maps/search/st.+paul+minnesota+construction+safety/@44.9478,-93.1039,12z/",St. Paul,construction safety
"https://www.google.com/maps/search/trenton+new+jersey+construction+safety/@40.2237,-74.7641,12z/",Trenton,construction safety
"https://www.google.com/maps/search/plano+texas+construction+safety/@33.0502,-96.7486,12z/",Plano,construction safety
"https://www.google.com/maps/search/round+lake+beach+illinois+construction+safety/@42.3791,-88.0811,12z/",Round Lake Beach,construction safety
"https://www.google.com/maps/search/newark+new+jersey+construction+safety/@40.7245,-74.1725,12z/",Newark,construction safety
"https://www.google.com/maps/search/reading+pennsylvania+construction+safety/@40.34,-75.9267,12z/",Reading,construction safety
"https://www.google.com/maps/search/irvine+california+construction+safety/@33.6772,-117.7738,12z/",Irvine,construction safety
"https://www.google.com/maps/search/eugene+oregon+construction+safety/@44.0564,-123.1174,12z/",Eugene,construction safety
"https://www.google.com/maps/search/chula+vista+california+construction+safety/@32.6281,-117.0144,12z/",Chula Vista,construction safety
"https://www.google.com/maps/search/st.+petersburg+florida+construction+safety/@27.7931,-82.6652,12z/",St. Petersburg,construction safety
"https://www.google.com/maps/search/jersey+city+new+jersey+construction+safety/@40.7184,-74.0686,12z/",Jersey City,construction safety
"https://www.google.com/maps/search/aguadilla+puerto+rico+construction+safety/@18.4382,-67.1537,12z/",Aguadilla,construction safety
"https://www.google.com/maps/search/chandler+arizona+construction+safety/@33.2825,-111.8514,12z/",Chandler,construction safety
"https://www.google.com/maps/search/glendale+arizona+construction+safety/@33.5791,-112.2311,12z/",Glendale,construction safety
"https://www.google.com/maps/search/norfolk+virginia+construction+safety/@36.8945,-76.259,12z/",Norfolk,construction safety
"https://www.google.com/maps/search/garland+texas+construction+safety/@32.91,-96.6304,12z/",Garland,construction safety
"https://www.google.com/maps/search/york+pennsylvania+construction+safety/@39.9651,-76.7315,12z/",York,construction safety
"https://www.google.com/maps/search/arlington+virginia+construction+safety/@38.8786,-77.1011,12z/",Arlington,construction safety
"https://www.google.com/maps/search/hialeah+florida+construction+safety/@25.8696,-80.3045,12z/",Hialeah,construction safety
