url,city,term
"https://www.google.com/maps/search/detroit+michigan+gyms/@42.3834,-83.1024,12z/",Detroit,gyms
"https://www.google.com/maps/search/grand+rapids+michigan+gyms/@42.9619,-85.6562,12z/",Grand Rapids,gyms
"https://www.google.com/maps/search/flint+michigan+gyms/@43.0236,-83.6921,12z/",Flint,gyms
"https://www.google.com/maps/search/lansing+michigan+gyms/@42.7142,-84.5601,12z/",Lansing,gyms
"https://www.google.com/maps/search/ann+arbor+michigan+gyms/@42.2759,-83.731,12z/",Ann Arbor,gyms
"https://www.google.com/maps/search/kalamazoo+michigan+gyms/@42.2749,-85.5882,12z/",Kalamazoo,gyms
"https://www.google.com/maps/search/muskegon+michigan+gyms/@43.2281,-86.2562,12z/",Muskegon,gyms
"https://www.google.com/maps/search/warren+michigan+gyms/@42.4934,-83.027,12z/",Warren,gyms
"https://www.google.com/maps/search/sterling+heights+michigan+gyms/@42.5809,-83.0305,12z/",Sterling Heights,gyms
"https://www.google.com/maps/search/south+lyon+michigan+gyms/@42.4614,-83.6526,12z/",South Lyon,gyms
"https://www.google.com/maps/search/saginaw+michigan+gyms/@43.4199,-83.9501,12z/",Saginaw,gyms
"https://www.google.com/maps/search/holland+michigan+gyms/@42.7677,-86.0984,12z/",Holland,gyms
"https://www.google.com/maps/search/detroit+michigan+nonprofits/@42.3834,-83.1024,12z/",Detroit,nonprofits
"https://www.google.com/maps/search/grand+rapids+michigan+nonprofits/@42.9619,-85.6562,12z/",Grand Rapids,nonprofits
"https://www.google.com/maps/search/flint+michigan+nonprofits/@43.0236,-83.6921,12z/",Flint,nonprofits
"https://www.google.com/maps/search/lansing+michigan+nonprofits/@42.7142,-84.5601,12z/",Lansing,nonprofits
"https://www.google.com/maps/search/ann+arbor+michigan+nonprofits/@42.2759,-83.731,12z/",Ann Arbor,nonprofits
"https://www.google.com/maps/search/kalamazoo+michigan+nonprofits/@42.2749,-85.5882,12z/",Kalamazoo,nonprofits
"https://www.google.com/maps/search/muskegon+michigan+nonprofits/@43.2281,-86.2562,12z/",Muskegon,nonprofits
"https://www.google.com/maps/search/warren+michigan+nonprofits/@42.4934,-83.027,12z/",Warren,nonprofits
"https://www.google.com/maps/search/sterling+heights+michigan+nonprofits/@42.5809,-83.0305,12z/",Sterling Heights,nonprofits
"https://www.google.com/maps/search/south+lyon+michigan+nonprofits/@42.4614,-83.6526,12z/",South Lyon,nonprofits
"https://www.google.com/maps/search/saginaw+michigan+nonprofits/@43.4199,-83.9501,12z/",Saginaw,nonprofits
"https://www.google.com/maps/search/holland+michigan+nonprofits/@42.7677,-86.0984,12z/",Holland,nonprofits
"https://www.google.com/maps/search/detroit+michigan+construction/@42.3834,-83.1024,12z/",Detroit,construction
"https://www.google.com/maps/search/grand+rapids+michigan+construction/@42.9619,-85.6562,12z/",Grand Rapids,construction
"https://www.google.com/maps/search/flint+michigan+construction/@43.0236,-83.6921,12z/",Flint,construction
"https://www.google.com/maps/search/lansing+michigan+construction/@42.7142,-84.5601,12z/",Lansing,construction
"https://www.google.com/maps/search/ann+arbor+michigan+construction/@42.2759,-83.731,12z/",Ann Arbor,construction
"https://www.google.com/maps/search/kalamazoo+michigan+construction/@42.2749,-85.5882,12z/",Kalamazoo,construction
"https://www.google.com/maps/search/muskegon+michigan+construction/@43.2281,-86.2562,12z/",Muskegon,construction
"https://www.google.com/maps/search/warren+michigan+construction/@42.4934,-83.027,12z/",Warren,construction
"https://www.google.com/maps/search/sterling+heights+michigan+construction/@42.5809,-83.0305,12z/",Sterling Heights,construction
"https://www.google.com/maps/search/south+lyon+michigan+construction/@42.4614,-83.6526,12z/",South Lyon,construction
"https://www.google.com/maps/search/saginaw+michigan+construction/@43.4199,-83.9501,12z/",Saginaw,construction
"https://www.google.com/maps/search/holland+michigan+construction/@42.7677,-86.0984,12z/",Holland,construction
"https://www.google.com/maps/search/detroit+michigan+tech+companies/@42.3834,-83.1024,12z/",Detroit,tech companies
"https://www.google.com/maps/search/grand+rapids+michigan+tech+companies/@42.9619,-85.6562,12z/",Grand Rapids,tech companies
"https://www.google.com/maps/search/flint+michigan+tech+companies/@43.0236,-83.6921,12z/",Flint,tech companies
"https://www.google.com/maps/search/lansing+michigan+tech+companies/@42.7142,-84.5601,12z/",Lansing,tech companies
"https://www.google.com/maps/search/ann+arbor+michigan+tech+companies/@42.2759,-83.731,12z/",Ann Arbor,tech companies
"https://www.google.com/maps/search/kalamazoo+michigan+tech+companies/@42.2749,-85.5882,12z/",Kalamazoo,tech companies
"https://www.google.com/maps/search/muskegon+michigan+tech+companies/@43.2281,-86.2562,12z/",Muskegon,tech companies
"https://www.google.com/maps/search/warren+michigan+tech+companies/@42.4934,-83.027,12z/",Warren,tech companies
"https://www.google.com/maps/search/sterling+heights+michigan+tech+companies/@42.5809,-83.0305,12z/",Sterling Heights,tech companies
"https://www.google.com/maps/search/south+lyon+michigan+tech+companies/@42.4614,-83.6526,12z/",South Lyon,tech companies
"https://www.google.com/maps/search/saginaw+michigan+tech+companies/@43.4199,-83.9501,12z/",Saginaw,tech companies
"https://www.google.com/maps/search/holland+michigan+tech+companies/@42.7677,-86.0984,12z/",Holland,tech companies
"https://www.google.com/maps/search/detroit+michigan+bars+and+restaurants/@42.3834,-83.1024,12z/",Detroit,bars and restaurants
"https://www.google.com/maps/search/grand+rapids+michigan+bars+and+restaurants/@42.9619,-85.6562,12z/",Grand Rapids,bars and restaurants
"https://www.google.com/maps/search/flint+michigan+bars+and+restaurants/@43.0236,-83.6921,12z/",Flint,bars and restaurants
"https://www.google.com/maps/search/lansing+michigan+bars+and+restaurants/@42.7142,-84.5601,12z/",Lansing,bars and restaurants
"https://www.google.com/maps/search/ann+arbor+michigan+bars+and+restaurants/@42.2759,-83.731,12z/",Ann Arbor,bars and restaurants
"https://www.google.com/maps/search/kalamazoo+michigan+bars+and+restaurants/@42.2749,-85.5882,12z/",Kalamazoo,bars and restaurants
"https://www.google.com/maps/search/muskegon+michigan+bars+and+restaurants/@43.2281,-86.2562,12z/",Muskegon,bars and restaurants
"https://www.google.com/maps/search/warren+michigan+bars+and+restaurants/@42.4934,-83.027,12z/",Warren,bars and restaurants
"https://www.google.com/maps/search/sterling+heights+michigan+bars+and+restaurants/@42.5809,-83.0305,12z/",Sterling Heights,bars and restaurants
"https://www.google.com/maps/search/south+lyon+michigan+bars+and+restaurants/@42.4614,-83.6526,12z/",South Lyon,bars and restaurants
"https://www.google.com/maps/search/saginaw+michigan+bars+and+restaurants/@43.4199,-83.9501,12z/",Saginaw,bars and restaurants
"https://www.google.com/maps/search/holland+michigan+bars+and+restaurants/@42.7677,-86.0984,12z/",Holland,bars and restaurants
"https://www.google.com/maps/search/detroit+michigan+running+events/@42.3834,-83.1024,12z/",Detroit,running events
"https://www.google.com/maps/search/grand+rapids+michigan+running+events/@42.9619,-85.6562,12z/",Grand Rapids,running events
"https://www.google.com/maps/search/flint+michigan+running+events/@43.0236,-83.6921,12z/",Flint,running events
"https://www.google.com/maps/search/lansing+michigan+running+events/@42.7142,-84.5601,12z/",Lansing,running events
"https://www.google.com/maps/search/ann+arbor+michigan+running+events/@42.2759,-83.731,12z/",Ann Arbor,running events
"https://www.google.com/maps/search/kalamazoo+michigan+running+events/@42.2749,-85.5882,12z/",Kalamazoo,running events
"https://www.google.com/maps/search/muskegon+michigan+running+events/@43.2281,-86.2562,12z/",Muskegon,running events
"https://www.google.com/maps/search/warren+michigan+running+events/@42.4934,-83.027,12z/",Warren,running events
"https://www.google.com/maps/search/sterling+heights+michigan+running+events/@42.5809,-83.0305,12z/",Sterling Heights,running events
"https://www.google.com/maps/search/south+lyon+michigan+running+events/@42.4614,-83.6526,12z/",South Lyon,running events
