city,term,url
Miami,legal services,"https://www.google.com/maps/search/miami+florida+legal+services/@25.784,-80.2101,12z/"
Philadelphia,legal services,"https://www.google.com/maps/search/philadelphia+pennsylvania+legal+services/@40.0077,-75.1339,12z/"
Washington,legal services,"https://www.google.com/maps/search/washington+district+of+columbia+legal+services/@38.9047,-77.0163,12z/"
Boston,legal services,"https://www.google.com/maps/search/boston+massachusetts+legal+services/@42.3188,-71.0852,12z/"
Detroit,legal services,"https://www.google.com/maps/search/detroit+michigan+legal+services/@42.3834,-83.1024,12z/"
San Francisco,legal services,"https://www.google.com/maps/search/san+francisco+california+legal+services/@37.7558,-122.4449,12z/"
Seattle,legal services,"https://www.google.com/maps/search/seattle+washington+legal+services/@47.6211,-122.3244,12z/"
San Diego,legal services,"https://www.google.com/maps/search/san+diego+california+legal+services/@32.8313,-117.1222,12z/"
Minneapolis,legal services,"https://www.google.com/maps/search/minneapolis+minnesota+legal+services/@44.9635,-93.2678,12z/"
Brooklyn,legal services,"https://www.google.com/maps/search/brooklyn+new+york+legal+services/@40.6501,-73.9496,12z/"
Denver,legal services,"https://www.google.com/maps/search/denver+colorado+legal+services/@39.762,-104.8758,12z/"
Queens,legal services,"https://www.google.com/maps/search/queens+new+york+legal+services/@40.7498,-73.7976,12z/"
Baltimore,legal services,"https://www.google.com/maps/search/baltimore+maryland+legal+services/@39.3051,-76.6144,12z/"
Las Vegas,legal services,"https://www.google.com/maps/search/las+vegas+nevada+legal+services/@36.2333,-115.2654,12z/"
St. Louis,legal services,"https://www.google.com/maps/search/st.+louis+missouri+legal+services/@38.6359,-90.2451,12z/"
Portland,legal services,"https://www.google.com/maps/search/portland+oregon+legal+services/@45.5371,-122.65,12z/"
Sacramento,legal services,"https://www.google.com/maps/search/sacramento+california+legal+services/@38.5677,-121.4685,12z/"
San Juan,legal services,"https://www.google.com/maps/search/san+juan+puerto+rico+legal+services/@18.3985,-66.061,12z/"
San Jose,legal services,"https://www.google.com/maps/search/san+jose+california+legal+services/@37.3012,-121.848,12z/"
Cleveland,legal services,"https://www.google.com/maps/search/cleveland+ohio+legal+services/@41.4764,-81.6805,12z/"
Pittsburgh,legal services,"https://www.google.com/maps/search/pittsburgh+pennsylvania+legal+services/@40.4397,-79.9763,12z/"
Manhattan,legal services,"https://www.google.com/maps/search/manhattan+new+york+legal+services/@40.7834,-73.9662,12z/"
Bronx,legal services,"https://www.google.com/maps/search/bronx+new+york+legal+services/@40.8501,-73.8662,12z/"
Milwaukee,legal services,"https://www.google.com/maps/search/milwaukee+wisconsin+legal+services/@43.0642,-87.9675,12z/"
Providence,legal services,"https://www.google.com/maps/search/providence+rhode+island+legal+services/@41.823,-71.4187,12z/"
Bridgeport,legal services,"https://www.google.com/maps/search/bridgeport+connecticut+legal+services/@41.1918,-73.1954,12z/"
Buffalo,legal services,"https://www.google.com/maps/search/buffalo+new+york+legal+services/@42.9018,-78.8487,12z/"
Hartford,legal services,"https://www.google.com/maps/search/hartford+connecticut+legal+services/@41.7661,-72.6834,12z/"
Honolulu,legal services,"https://www.google.com/maps/search/honolulu+hawaii+legal+services/@21.3294,-157.846,12z/"
